Date,Close/Last,Volume,Open,High,Low
05/27/2021,57.88,4660915,58.00,58.40,57.39
05/26/2021,57.62,2794073,56.78,58.26,56.6127
05/25/2021,56.53,2182566,56.37,57.41,56.37
05/24/2021,56.02,1776307,56.22,56.47,55.94
05/21/2021,55.77,2408490,56.46,57.16,55.74
05/20/2021,56.06,1496381,55.54,56.46,55.36
05/19/2021,55.58,3139987,55.13,56.25,54.2778
05/18/2021,56.13,2365928,58.11,58.255,56.03
05/17/2021,57.99,2142534,58.21,58.42,56.61
05/14/2021,58.46,1969403,58.46,59.32,58.1
05/13/2021,58.06,4290522,55.76,58.485,55.67
05/12/2021,55.41,4718080,59.08,59.3,55.16
05/11/2021,59.54,3499618,61.54,61.98,59.15
05/10/2021,62.35,3009277,61.92,63.905,61.62
05/07/2021,61.73,2725189,60.72,62.01,59.85
05/06/2021,60.61,2717532,61.44,61.61,60.03
05/05/2021,61.12,2076726,61.34,61.5579,60.35
05/04/2021,60.9,2806644,60.05,61.2,59.67
05/03/2021,60.33,3011387,59.7,60.66,59.65
04/30/2021,59.12,2556584,59.61,59.66,58.26
04/29/2021,59.81,3480970,59.11,60.0752,58.71
04/28/2021,58.68,3342458,57.43,58.885,57.1
04/27/2021,57.14,5103093,56.37,58.08,56.36
04/26/2021,54.79,3686409,54.6,55.07,54.11
04/23/2021,53.91,1973962,53.38,54.16,53.05
04/22/2021,53.18,2667890,53,53.5,52.44
04/21/2021,53.16,1521233,52.5,53.38,52.41
04/20/2021,52.51,2685764,53.73,54.37,51.55
04/19/2021,53.71,2648329,54.48,54.57,53.17
04/16/2021,54.22,3348896,53.7,54.49,53.54
04/15/2021,53.45,2945277,54,54.1,53.39
04/14/2021,53.5,2437068,54,54.38,53.43
04/13/2021,54.05,2535528,53.82,54.16,52.96
04/12/2021,54.1,2805070,54.6,54.71,53.52
04/09/2021,54.56,2498274,52.97,54.7,52.63
04/08/2021,53.15,2696817,53.64,53.9,52.85
04/07/2021,53.53,2081193,54.18,54.22,53.25
04/06/2021,53.99,2730310,53.74,54.11,53.44
04/05/2021,53.83,2113518,53.84,53.98,53.06
04/01/2021,53.48,2469535,53,53.53,52.55
03/31/2021,52.44,2474965,53,53.115,52.265
03/30/2021,52.75,2563925,52.09,52.95,51.06
03/29/2021,51.61,3578240,53.12,53.66,51.43
03/26/2021,52.62,3435045,50.56,52.67,50.14
03/25/2021,50.14,3905395,47.49,50.4,47.31
03/24/2021,48.21,2229619,48.52,49.74,48.2
03/23/2021,48.34,2237843,49.05,49.63,47.96
03/22/2021,49.07,2994873,49.24,49.445,48.22
03/19/2021,48.99,4456493,48.25,49.37,47.85
03/18/2021,48.25,4212744,50.55,50.63,47.93
03/17/2021,50.99,4732815,48.76,51.005,48.17
03/16/2021,49.09,2485336,49.9,50.3599,48.94
03/15/2021,49.7,3006510,48.12,49.73,47.67
03/12/2021,47.93,2974862,47.04,48.31,46.19
03/11/2021,48.25,2039686,49.04,49.35,47.83
03/10/2021,48.83,2879720,47.65,49.38,47.12
03/09/2021,47.34,2716690,48.06,48.75,47.0805
03/08/2021,47.41,2640605,46,48.12,46
03/05/2021,45.74,2926632,44.15,45.94,42.92
03/04/2021,43.78,3895598,44.34,45.47,42.31
03/03/2021,44.27,3377210,45.88,46.1,44.24
03/02/2021,46.19,2417865,45.61,46.47,45.02
03/01/2021,45.47,2899505,45.79,46.4,45.4
02/26/2021,45.11,3121236,44.49,45.73,43.83
02/25/2021,43.94,3043528,46.49,46.5,43.5339
02/24/2021,46.92,2829307,45.7,47,44.45
02/23/2021,45.92,2892848,45.3,46,44.09
02/22/2021,45.44,2029714,46.16,46.58,45.43
02/19/2021,46.39,2288128,45.8,46.61,45.8
02/18/2021,45.47,3310273,46.26,46.66,45.31
02/17/2021,46.17,2950185,46.13,46.92,45.42
02/16/2021,46.67,3560088,48.65,48.65,46.45
02/12/2021,48.48,2088064,49.26,49.66,48.18
02/11/2021,49.51,2840925,49.73,50.1,49.27
02/10/2021,49.36,2689456,49.28,49.875,48.3
02/09/2021,49.2,1792944,49.39,49.39,48.22
02/08/2021,49.26,2509582,48.48,49.4003,48.02
02/05/2021,48.13,3379657,47.45,48.14,46.81
02/04/2021,47.1,2278584,46.36,47.65,45.66
02/03/2021,46.36,3447647,45.89,46.69,45.55
02/02/2021,45.97,2937055,45.1,46.33,44.28
02/01/2021,44.77,3273191,43.99,44.9,43.12
01/29/2021,43.5,3781252,45,45.14,43.0901
01/28/2021,44.57,5479349,43.87,45.55,42.59
01/27/2021,47.25,5520203,47.02,48.22,46.24
01/26/2021,47.63,3457042,49.01,50.11,47.33
01/25/2021,48.98,3744219,49.5,50.23,48.5501
01/22/2021,48.89,4171470,47.93,49.07,46.9711
01/21/2021,47.56,3919096,47.45,48.18,46.78
01/20/2021,46.69,4897265,44.48,47.11,44.22
01/19/2021,44.01,2870556,43.06,44.05,42.81
01/15/2021,42.7,2287386,42.15,43.12,42.15
01/14/2021,42.42,2296377,42.76,42.87,42.2
01/13/2021,42.56,3701369,43.11,43.88,42.15
01/12/2021,42.66,1926770,42.2,42.695,41.66
01/11/2021,42.08,2081810,41.53,42.92,41.15
01/08/2021,41.53,2439083,42.74,43.09,41.3
01/07/2021,42.49,3896475,40.95,42.695,40.56
01/06/2021,40.85,3850084,40.53,41.18,39.92
01/05/2021,41.07,4652857,40.76,41.7,40.36
01/04/2021,42.21,3666066,43.29,43.43,41.33
12/31/2020,43.12,1737110,44.23,44.23,43.01
12/30/2020,44.09,1225347,44.2,44.8277,43.97
12/29/2020,44.15,1227174,44.68,44.89,43.78
