Date,Close/Last,Volume,Open,High,Low,High5,Low5,Open5,Volume5avg
2016-05-31,18.76,3471617,18.89,18.9,18.69,18.9,18.69,18.89,3.471617
2016-06-01,18.87,2945610,18.6,18.9,18.51,18.9,18.69,18.89,3.2086135
2016-06-02,18.89,8995595,18.77,18.94,18.66,18.94,18.69,18.89,5.137607333333333
2016-06-03,18.79,2415702,18.89,18.89,18.39,18.94,18.69,18.89,4.457131
2016-06-06,18.7,5898295,18.85,18.89,18.62,18.94,18.66,18.89,5.769864
2016-06-07,19.37,11730200,18.69,19.78,18.62,19.78,18.62,18.89,6.681399
2016-06-08,19.7,5457079,19.46,19.8,19.35,19.8,19.35,19.46,7.695191333333333
2016-06-09,19.58,3059539,19.6,19.68,19.495,19.8,19.495,19.6,6.53627825
2016-06-10,19.22,3579379,19.37,19.44,19.15,19.8,19.495,19.6,5.9448984000000005
2016-06-13,18.83,3676129,19.12,19.34,18.81,19.68,19.495,19.6,3.438349
2016-06-14,18.59,2536767,18.79,18.94,18.485,19.44,19.15,19.37,3.2640916666666664
2016-06-15,18.72,2548589,18.63,18.99,18.56,19.34,18.81,19.12,2.920495
2016-06-16,18.67,2060340,18.61,18.7,18.495,19.34,18.81,19.12,2.70545625
2016-06-17,19.05,3801333,18.64,19.16,18.59,19.34,18.81,19.12,2.9246316
2016-06-20,19.09,3990487,19.28,19.43,19.08,19.43,19.08,19.28,3.2840533333333335
2016-06-21,19.1,6572410,19.28,19.37,18.81,19.43,19.08,19.28,4.788076666666667
2016-06-22,18.87,3617245,19.09,19.19,18.85,19.43,19.08,19.28,4.726714
2016-06-23,19.16,4986618,19.17,19.18,18.94,19.43,19.08,19.28,4.79169
2016-06-24,18.4,9167440,18.35,18.87,18.33,19.43,19.08,19.28,5.66684
2016-06-27,18.01,6378225,18.22,18.25,17.71,19.18,18.94,19.17,6.844094333333333
2016-06-28,18.56,3622332,18.26,18.69,18.2,18.87,18.33,18.35,6.389332333333333
2016-06-29,19.0,5416120,18.76,19.145,18.69,19.145,18.69,18.76,5.138892333333333
