date,skip,in_promotion,target
2017-01-01,TRUE,TRUE,?
2017-01-02,FALSE,TRUE,1896
2017-01-03,FALSE,TRUE,3980
2017-01-04,FALSE,TRUE,3692
2017-01-05,FALSE,TRUE,4390
2017-01-06,FALSE,TRUE,4333
2017-01-07,FALSE,TRUE,3317
2017-01-08,FALSE,TRUE,3627
2017-01-09,FALSE,TRUE,4680
2017-01-10,FALSE,TRUE,4992
2017-01-11,FALSE,TRUE,3627
2017-01-12,FALSE,TRUE,3372
2017-01-13,FALSE,FALSE,1271
2017-01-14,FALSE,FALSE,891
2017-01-15,TRUE,FALSE,?
2017-01-16,FALSE,FALSE,1767
2017-01-17,FALSE,FALSE,1465
2017-01-18,FALSE,FALSE,1378
2017-01-19,FALSE,FALSE,1264
2017-01-20,FALSE,FALSE,790
2017-01-21,FALSE,FALSE,649
2017-01-22,TRUE,FALSE,?
2017-01-23,FALSE,FALSE,1127
2017-01-24,FALSE,FALSE,952
2017-01-25,FALSE,FALSE,800
2017-01-26,FALSE,FALSE,524
2017-01-27,TRUE,FALSE,?
2017-01-28,TRUE,FALSE,?
2017-01-29,TRUE,FALSE,?
2017-01-30,TRUE,FALSE,?
2017-01-31,TRUE,FALSE,?
2017-02-01,TRUE,FALSE,?
2017-02-02,FALSE,FALSE,487
2017-02-03,FALSE,FALSE,345
2017-02-04,FALSE,FALSE,428
2017-02-05,TRUE,FALSE,?
2017-02-06,FALSE,FALSE,1346
2017-02-07,FALSE,FALSE,959
2017-02-08,FALSE,FALSE,894
2017-02-09,FALSE,FALSE,845
2017-02-10,FALSE,FALSE,687
2017-02-11,FALSE,FALSE,416
2017-02-12,TRUE,FALSE,?
2017-02-13,FALSE,FALSE,1463
2017-02-14,FALSE,FALSE,1605
2017-02-15,FALSE,FALSE,1356
2017-02-16,FALSE,FALSE,1350
2017-02-17,FALSE,FALSE,1037
2017-02-18,FALSE,FALSE,977
2017-02-19,TRUE,FALSE,?
2017-02-20,FALSE,TRUE,3620
2017-02-21,FALSE,TRUE,3708
2017-02-22,FALSE,TRUE,2888
2017-02-23,FALSE,TRUE,3121
2017-02-24,FALSE,TRUE,2139
2017-02-25,FALSE,TRUE,703
2017-02-26,FALSE,TRUE,660
2017-02-27,TRUE,TRUE,?
2017-02-28,TRUE,TRUE,?
2017-03-01,FALSE,TRUE,3171
2017-03-02,FALSE,TRUE,2683
2017-03-03,FALSE,TRUE,2163
2017-03-04,FALSE,TRUE,1203
2017-03-05,FALSE,TRUE,1442
2017-03-06,FALSE,TRUE,2853
2017-03-07,FALSE,TRUE,2874
2017-03-08,FALSE,TRUE,2441
2017-03-09,FALSE,TRUE,2729
2017-03-10,FALSE,TRUE,2109
2017-03-11,FALSE,TRUE,1261
2017-03-12,FALSE,TRUE,1290
2017-03-13,FALSE,TRUE,2983
