date,skip,target
2017-06-01,FALSE,3027
2017-06-02,FALSE,2085
2017-06-03,FALSE,1420
2017-06-04,FALSE,1661
2017-06-05,FALSE,3085
2017-06-06,FALSE,5030
2017-06-07,FALSE,1169
2017-06-08,FALSE,3057
2017-06-09,FALSE,2695
2017-06-10,FALSE,2584
2017-06-11,FALSE,2099
2017-06-12,FALSE,3294
2017-06-13,FALSE,4486
2017-06-14,FALSE,2562
2017-06-15,FALSE,3525
2017-06-16,FALSE,3461
2017-06-17,FALSE,2498
2017-06-18,FALSE,3058
2017-06-19,FALSE,4401
2017-06-20,FALSE,4477
2017-06-21,FALSE,4361
2017-06-22,FALSE,3366
2017-06-23,FALSE,1534
2017-06-24,FALSE,855
2017-06-25,TRUE,?
2017-06-26,FALSE,1654
2017-06-27,FALSE,1606
2017-06-28,FALSE,1456
2017-06-29,FALSE,1465
2017-06-30,FALSE,825
2017-07-01,FALSE,497
2017-07-02,TRUE,?
2017-07-03,FALSE,1839
2017-07-04,FALSE,1543
2017-07-05,FALSE,1801
2017-07-06,FALSE,1485
2017-07-07,FALSE,811
2017-07-08,FALSE,578
2017-07-09,TRUE,?
2017-07-10,FALSE,1400
2017-07-11,FALSE,1231
2017-07-12,FALSE,1266
2017-07-13,FALSE,998
2017-07-14,FALSE,1117
2017-07-15,FALSE,552
2017-07-16,TRUE,?
2017-07-17,FALSE,1433
2017-07-18,FALSE,1249
2017-07-19,FALSE,2699
2017-07-20,FALSE,1213
2017-07-21,FALSE,691
2017-07-22,FALSE,609
2017-07-23,TRUE,?
2017-07-24,FALSE,1486
2017-07-25,FALSE,1161
2017-07-26,FALSE,1384
2017-07-27,FALSE,1316
2017-07-28,FALSE,604
2017-07-29,FALSE,374
2017-07-30,TRUE,?
2017-07-31,FALSE,1236
2017-08-01,FALSE,1243
2017-08-02,FALSE,1064
2017-08-03,FALSE,1274
2017-08-04,FALSE,2865
2017-08-05,FALSE,498
2017-08-06,TRUE,?
2017-08-07,FALSE,1312
2017-08-08,FALSE,1134
2017-08-09,FALSE,1023
2017-08-10,FALSE,1282
2017-08-11,FALSE,625
2017-08-12,FALSE,468
2017-08-13,TRUE,?
2017-08-14,FALSE,1212
2017-08-15,FALSE,1107
2017-08-16,FALSE,1160
2017-08-17,FALSE,1240
2017-08-18,TRUE,?
2017-08-19,FALSE,429
2017-08-20,TRUE,?
2017-08-21,FALSE,1084
2017-08-22,FALSE,1010
2017-08-23,FALSE,943
2017-08-24,FALSE,1108
2017-08-25,FALSE,539
2017-08-26,TRUE,?
2017-08-27,TRUE,?
2017-08-28,FALSE,1035
2017-08-29,FALSE,1014
2017-08-30,FALSE,1130
2017-08-31,FALSE,1068
2017-09-01,FALSE,?
2017-09-02,FALSE,?
2017-09-03,FALSE,?
2017-09-04,FALSE,?
2017-09-05,FALSE,?
2017-09-06,FALSE,?
2017-09-07,FALSE,?
2017-09-08,FALSE,?
2017-09-09,FALSE,?
2017-09-10,FALSE,?
2017-09-11,FALSE,?
2017-09-12,FALSE,?
2017-09-13,FALSE,?
2017-09-14,FALSE,?
2017-09-15,FALSE,?
2017-09-16,FALSE,?
2017-09-17,FALSE,?
2017-09-18,FALSE,?
2017-09-19,FALSE,?
2017-09-20,FALSE,?
2017-09-21,FALSE,?
2017-09-22,FALSE,?
2017-09-23,FALSE,?
2017-09-24,FALSE,?
2017-09-25,FALSE,?
2017-09-26,FALSE,?
2017-09-27,FALSE,?
2017-09-28,FALSE,?
2017-09-29,FALSE,?
2017-09-30,FALSE,?
