product_name,price,metadata,product_id,image_download
Bells Out Poncho | Grey,114.95,,1588577539,OK
Kamilla Cardigan | Charcoal,114.95,The Kamilla Cardigan features a blended fabrication and two side pockets.,1588317956,OK
Mona Cardigan | Khaki,114.95,The Mona Cardigan features a leopard printed fabrication and two side pockets.,1588317235,OK
Molly Knit | Khaki,94.95,Introducing AW 2020,1588230304,OK
Molly Knit | Camel,94.95,Introducing AW 2020,1588230256,OK
McKenzie Skivvy | Coffee,79.95,Introducing AW 2020,1588229963,OK
McKenzie Skivvy | Grey,79.95,Introducing AW 2020,1588230013,OK
Callista Knit | Grey,79.95,The Callista Knit is the perfect layering piece. Featuring a v neckline and stitch detailing along the front this knit is a Winter wardrobe essential!,1588315986,OK
Virgo Knit | Khaki,79.95,"The Virgo Knit features a scooped neckline, block colour knitted fabric and relaxed fitting body. This knit will be sure to keep you warm this Winter.",1588314952,OK
Mona Cardigan | Black,114.95,The Mona Cardigan features a leopard printed fabrication and two side pockets.,1588316704,OK
McKenzie Skivvy | Black,79.95,Introducing AW 2020,1588229926,OK
Emmi Knit | Grey,69.95,The Emmi Knit is the perfect layering piece. Featuring a two toned weave and scooped neckline. This knit is a Winter wardrobe essential!,1588313519,OK
Geneva Cardigan | Khaki,124.95,Introducing AW 2020,1587438488,OK
Geneva Cardigan | Beige,124.95,Introducing AW 2020,1587438246,OK
Henley Zip Pants | Black,94.95,Introducing AW 2020,1587528084,OK
Evelyn Knit | Stripe,109.95,Introducing AW 2020,1587106376,OK
Jessie Joggers | Black,84.95,Introducing AW 2020,1587104836,OK
Jessie Joggers | Peacock,84.95,Introducing AW 2020,1587519423,OK
Hadley Knit Pants | Black,84.95,Introducing AW 2020,1587106279,OK
Hadley Knit Pants | Grey,84.95,Introducing AW 2020,1587106316,OK
Koda Cardigan | Black,109.95,Introducing AW 2020,1587106544,OK
Jaelyn Jacket | Tan,189.95,Introducing AW 2020,1587105536,OK
Noah Coat | Beige,169.95,Introducing AW 2020,1587105888,OK
Madison Embroidered Tee | White,64.95,Introducing AW 2020,1586398801,OK
Madison Embroidered Tee | Khaki,64.95,Introducing AW 2020,1586398762,OK
Jaida Tank | Black,39.95,Introducing Core 2020,1582766261,OK
Jaida Tank | White,39.95,Introducing Core 2020,1582767989,OK
Jaida Tank | Grey,39.95,Introducing Core 2020,1582768812,OK
Aston Tee | White,59.95,Introducing Core 2020,1585716390,OK
Aston Sweater | Leopard,94.95,Introducing Core 2020,1585716330,OK
Aston Joggers | Leopard,84.95,Introducing Core 2020,1585716292,OK
Joslin Top | White,74.95,Introducing Core 2020,1582770727,OK
Joslin Top | Black,74.95,Introducing Core 2020,1582771096,OK
Stella Top | Grey,54.95,Introducing Core 2020,1582771373,OK
Stella Top | Wine,54.95,Introducing Core 2020,1582771703,OK
Madison Script Top | Black,64.95,Introducing Core 2020,1585716483,OK
Madison Script Top | Grey,64.95,Introducing Core 2020,1585716529,OK
Madison Script Top | White,64.95,Introducing Core 2020,1585716555,OK
Madison Script Top | Sand,64.95,Introducing Core 2020,1585716588,OK
Amber Sweater | Blush,74.95,Introducing Core 2020,1587522923,OK
Amber Sweater | Navy,74.95,Introducing Core 2020,1587519107,OK
Amber Sweater | Seaweed,74.95,Introducing Core 2020,1587519126,OK
Liberty Top | Black,79.95,Introducing Core 2020,1587519207,OK
Liberty Top | White,79.95,Introducing Core 2020,1587519305,OK
Liberty Top | Mustard,79.95,Introducing Core 2020,1587519269,OK
Felix Puffer Jacket | Mustard,164.95,Introducing Core 2020,1585715656,OK
Felix Puffer Jacket | Black,164.95,Introducing Core 2020,1585715688,OK
Madison Embossed Sweater | Navy,94.95,Introducing Core 2020,1585715809,OK
Madison Embossed Sweater | Mustard,94.95,Introducing Core 2020,1585715737,OK
Mia Denim Jacket | Denim,144.95,Introducing Core 2020,1585716671,OK
Giselle Dress | Ink,89.95,Introducing Core 2020,1582780279,OK
Franco Joggers | Navy,84.95,Introducing Core 2020,1585715906,OK
Franco Joggers | Grey,84.95,Introducing Core 2020,1585715965,OK
Billie Joggers | Black,84.95,Introducing Core 2020,1585716038,OK
Billie Joggers | Clay,84.95,Introducing AW 2020,1585716109,OK
Peyton Hoodie | Clay,84.95,Introducing AW 2020,1585716215,OK
